artists	title	album	year	duration_ms	isrc	spotify_id	sources	album_artist	album_ref
Chet Faker	Inefficient Love	Inefficient Love	2025	223000			scope:Chet Faker	Chet Faker	075ef4c1-8b9e-43e4-9697-c905f33c7916
The Cactus Channel Chet Faker	Kill the Doubt	Kill the Doubt	2015	241000			scope:Chet Faker	The Cactus Channel Chet Faker	100afdfb-08aa-49fc-80c0-fee63733dc4d
The Cactus Channel Chet Faker	Sleeping Alone	Kill the Doubt	2015	238000			scope:Chet Faker	The Cactus Channel Chet Faker	100afdfb-08aa-49fc-80c0-fee63733dc4d
Chet Faker Kilo Kish	Melt	Melt	2013	261000			scope:Chet Faker	Chet Faker Kilo Kish	16f5bcba-0e67-4fe1-8db6-48e43552f558
Chet Faker	Something Like This	Something Like This	2023	198020			scope:Chet Faker	Chet Faker	1c198a65-aa16-48fe-8ee0-f6fbb5158678
Marcus Marr Chet Faker	The Trouble With Us	The Trouble With Us	2015	222000			scope:Chet Faker	Marcus Marr Chet Faker	21ea1b1d-f82c-4c8d-9a8c-0f76a4bc3555
Marcus Marr Chet Faker	Birthday Card	Work	2015	466000			scope:Chet Faker	Marcus Marr Chet Faker	311f286f-4f70-454a-9404-3f7b11bc9152
Marcus Marr Chet Faker	Learning For Your Love	Work	2015	390000			scope:Chet Faker	Marcus Marr Chet Faker	311f286f-4f70-454a-9404-3f7b11bc9152
Marcus Marr Chet Faker	Killing Jar	Work	2015	436000			scope:Chet Faker	Marcus Marr Chet Faker	311f286f-4f70-454a-9404-3f7b11bc9152
Chet Faker	Jeans & Wallet	Have	2011	325000			scope:Chet Faker	Chet Faker	3641d36a-6d99-4c0c-be58-5bda6c6587ac
Chet Faker	Burst of Insanity/Clarity	Have	2011	212000			scope:Chet Faker	Chet Faker	3641d36a-6d99-4c0c-be58-5bda6c6587ac
Chet Faker	Nevermind Sleep	Have	2011	153000			scope:Chet Faker	Chet Faker	3641d36a-6d99-4c0c-be58-5bda6c6587ac
Chet Faker	Over You	Over You	2026	284339			scope:Chet Faker	Chet Faker	53e9ef40-bf66-4b8e-be95-3baadfa98522
Chet Faker	Can You Swim?	Over You	2026	295378			scope:Chet Faker	Chet Faker	53e9ef40-bf66-4b8e-be95-3baadfa98522
Chet Faker	This Time For Real	Over You	2026	192368			scope:Chet Faker	Chet Faker	53e9ef40-bf66-4b8e-be95-3baadfa98522
Chet Faker	Far Side of the Moon	Over You	2026	213498			scope:Chet Faker	Chet Faker	53e9ef40-bf66-4b8e-be95-3baadfa98522
Chet Faker	1000 Ways	Love for Strangers	2026	242000			scope:Chet Faker	Chet Faker	7dc7d8c2-c119-4efc-a9eb-6d3c8a0b8095
Chet Faker	Remember Me	Love for Strangers	2026	211000			scope:Chet Faker	Chet Faker	7dc7d8c2-c119-4efc-a9eb-6d3c8a0b8095
Chet Faker	Angels Dolphins 1:11	Love for Strangers	2026	71000			scope:Chet Faker	Chet Faker	7dc7d8c2-c119-4efc-a9eb-6d3c8a0b8095
Chet Faker aLex vs aLex	The Thing About Nothing	Love for Strangers	2026	271000			scope:Chet Faker	Chet Faker	7dc7d8c2-c119-4efc-a9eb-6d3c8a0b8095
Chet Faker	OH NO OH NO	Love for Strangers	2026	116000			scope:Chet Faker	Chet Faker	7dc7d8c2-c119-4efc-a9eb-6d3c8a0b8095
Chet Faker	A Level of Light	Love for Strangers	2026	270000			scope:Chet Faker	Chet Faker	7dc7d8c2-c119-4efc-a9eb-6d3c8a0b8095
Chet Faker	Just My Hallelujah	Love for Strangers	2026	318000			scope:Chet Faker	Chet Faker	7dc7d8c2-c119-4efc-a9eb-6d3c8a0b8095
Chet Faker	/	Built On Glass (10th Anniversary Expanded Edition)	2014	18000			scope:Chet Faker	Chet Faker	9cd04db2-29c7-4eda-b2aa-db5c5b1a1974
Chet Faker	Lesson in Patience	Built On Glass (10th Anniversary Expanded Edition)	2014	345000			scope:Chet Faker	Chet Faker	9cd04db2-29c7-4eda-b2aa-db5c5b1a1974
Chet Faker	Killswitch	Built On Glass (10th Anniversary Expanded Edition)	2014	162000			scope:Chet Faker	Chet Faker	9cd04db2-29c7-4eda-b2aa-db5c5b1a1974
Chet Faker	VHS New (1998 Demo)	Built On Glass (10th Anniversary Expanded Edition)	2014	255000			scope:Chet Faker	Chet Faker	9cd04db2-29c7-4eda-b2aa-db5c5b1a1974
Chet Faker	Jeans and Wallet	Thinking in Textures	2012	323000			scope:Chet Faker	Chet Faker	b0b087fb-a2dd-443a-90da-e2d5aac92863
Nick Murphy	And You Don’t Even Know You Hurt Me	Music for Silence	2020	808000			scope:Nick Murphy	Nick Murphy	2c6d48f5-cee6-41e4-a58c-3efee0684adc
Nick Murphy	Blood And	Music for Silence	2020	255000			scope:Nick Murphy	Nick Murphy	2c6d48f5-cee6-41e4-a58c-3efee0684adc
Nick Murphy	Tongue (Lift 4)	Music for Silence	2020	244000			scope:Nick Murphy	Nick Murphy	2c6d48f5-cee6-41e4-a58c-3efee0684adc
Nick Murphy	For Oscar	Music for Silence	2020	403000			scope:Nick Murphy	Nick Murphy	2c6d48f5-cee6-41e4-a58c-3efee0684adc
Nick Murphy	Rabbit Feet	Music for Silence	2020	457000			scope:Nick Murphy	Nick Murphy	2c6d48f5-cee6-41e4-a58c-3efee0684adc
